TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20220111211230,2,59,20,1,0,0,0
20220111211260,1,35,18,2,0,0,0
20220111211260,2,35,20,1,0,0,0
20220111211260,3,7,22,2,0,0,0
20220111211260,4,4,22,2,0,0,0
20220111211261,1,75,19,1,0,0,0
20220111211279,1,63,19,2,0,0,0
20220111211279,2,57,21,1,0,0,0
20220111211282,1,71,19,2,0,0,0
20220111211298,1,44,18,2,0,0,0
20220111211298,2,47,20,1,0,0,0
20220111211298,3,8,22,2,0,0,0
20220111211298,4,3,22,1,0,0,0
20220111211305,1,41,18,1,0,0,0
20220111211305,2,34,20,2,0,0,0
20220111211305,3,9,22,1,0,0,0
20220111211305,4,6,22,2,0,0,0
20220111211348,1,18,18,1,0,0,0
20220111211348,2,39,24,2,0,0,0
20220111211348,3,36,24,1,0,0,0
20220111211348,4,16,25,2,0,0,0
20220111211348,5,12,25,1,0,0,0
20220111211354,1,40,19,2,0,0,0
20220111211379,1,18,18,1,0,0,0
20220111211379,2,50,24,1,0,0,0
20220111211379,3,34,24,2,0,0,0
20220111211379,4,10,25,2,0,0,0
20220111211435,1,50,18,2,0,0,0
20220111211435,2,53,21,1,0,0,0
20220111211444,1,28,18,1,0,0,0
20220111211444,2,32,20,2,0,0,0
20220111211447,1,70,19,2,0,0,0
20220111211458,1,39,19,1,0,0,0
20220111211458,2,40,21,2,0,0,0
20220111211472,1,41,19,1,0,0,0
20220111211474,1,72,18,1,0,0,0
20220111211474,2,72,20,2,0,0,0
20220111211474,3,40,22,2,0,0,0
20220111211480,1,49,18,1,0,0,0
20220111211480,2,41,20,2,0,0,0
20220111211480,3,6,22,1,0,0,0
20220111211496,1,67,18,1,0,0,0
20220111211496,2,52,20,2,0,0,0
20220111211496,3,26,22,1,0,0,0
20220111211497,1,78,18,2,0,0,0
20220111211497,2,80,20,1,0,0,0
20220111211516,1,20,18,2,0,0,0
20220111211516,2,46,24,1,0,0,0
20220111211516,3,46,24,2,0,0,0
20220111211516,4,19,25,1,0,0,0
20220111211516,5,9,25,2,0,0,0
20220111211516,6,9,25,2,0,0,0
20220111211543,1,32,18,1,0,0,0
20220111211543,2,34,21,2,0,0,0
20220111211543,3,10,22,2,0,0,0
20220111211543,4,8,22,2,0,0,0
20220111211559,1,56,18,2,0,0,0
20220111211559,2,26,22,1,0,0,0
20220111211567,1,58,19,1,0,0,0
20220111211570,1,66,18,1,0,0,0
20220111211570,2,65,20,2,0,0,0
20220111211580,1,72,19,2,0,0,0
20220111211607,1,69,18,2,0,0,0
20220111211607,2,41,22,2,0,0,0
20220111211607,3,41,26,1,0,0,0
20220111211607,4,69,20,1,0,0,0
20220111211607,5,11,23,1,0,0,0
20220111211633,1,79,18,1,0,0,0
20220111211633,2,77,20,2,0,0,0
20220111211649,1,48,19,2,0,0,0
20220111211662,1,62,18,2,0,0,0
20220111211662,2,15,23,1,0,0,0
20220111211662,3,9,23,2,0,0,0
20220111211662,4,62,30,1,0,0,0
20220111211666,1,19,18,1,0,0,0
20220111211666,2,45,24,1,0,0,0
20220111211666,3,42,24,2,0,0,0
20220111211666,5,13,25,2,0,0,0
20220111211695,1,68,19,2,0,0,0
20220111211741,1,31,18,2,0,0,0
20220111211741,2,32,20,1,0,0,0
